CO_IES;CO_CATEGAD;CO_ORGACAD;CURSO;CO_MODALIDADE;CO_UF_CURSO;REGIAO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I01;QE_I02;QE_I03;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
2;1;10028;Fisica;1;DF;CO;36;M;2000.0;2017.0;4.0;34.4;83.7;87.5;78.0;59.0;75.0;55.0;97.0;85.0;100.0;18.0;20.0;6.7;10.0;0.0;10.0;E;D;D;D;C;B;B;A;A;B;D;A;D;D;C;E;F;F;E;A;A;D;A;D;53.0;A;A;A;E;A;A;B;A;E;A;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;4.0;6.0;4.0;4.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;7.0;7.0;6.0;4.0;4.0;6.0;6.0;4.0;7.0;3.0;3.0;3.0;4.0;7.0;6.0;7.0;4.0
2;1;10028;Fisica;1;DF;CO;38;M;1997.0;2014.0;4.0;64.8;61.6;75.0;41.5;83.0;95.0;80.0;0.0;50.0;0.0;65.8;70.0;41.7;20.0;45.0;60.0;C;D;A;D;D;C;D;C;D;A;F;A;D;D;A;A;F;F;E;A;A;A;A;A;52.0;B;A;G;G;A;C;C;E;H;D;3.0;8.0;2.0;5.0;2.0;2.0;4.0;4.0;8.0;5.0;3.0;2.0;6.0;3.0;8.0;6.0;6.0;6.0;6.0;7.0;5.0;5.0;6.0;8.0;8.0;7.0;7.0;2.0;3.0;4.0;5.0;4.0;5.0;6.0;1.0;3.0;5.0;7.0;1.0;8.0;5.0;2.0
2;1;10028;Fisica;1;DF;CO;21;F;2012.0;2012.0;4.0;21.0;67.9;62.5;76.0;79.0;75.0;80.0;73.0;65.0;75.0;5.3;5.0;6.7;20.0;0.0;0.0;C;C;C;C;B;C;D;D;B;A;D;A;E;F;D;A;E;C;D;A;A;F;A;B;53.0;E;D;B;G;A;C;E;A;E;A;5.0;6.0;5.0;6.0;4.0;3.0;5.0;4.0;4.0;6.0;4.0;5.0;5.0;3.0;2.0;6.0;3.0;4.0;3.0;3.0;4.0;4.0;5.0;5.0;5.0;3.0;1.0;2.0;3.0;5.0;6.0;5.0;4.0;5.0;3.0;4.0;4.0;6.0;3.0;5.0;5.0;4.0
2;1;10028;Fisica;1;DF;CO;28;M;2007.0;2012.0;4.0;37.4;37.5;62.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.3;40.0;21.7;20.0;35.0;10.0;B;C;A;A;B;C;D;D;B;A;A;A;D;D;A;C;C;C;E;A;A;A;A;A;41.0;B;A;B;C;B;A;A;C;H;A;5.0;6.0;6.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;6.0;5.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;5.0;6.0;6.0;5.0;5.0;1.0;1.0;3.0;6.0;6.0;6.0;5.0;4.0
2;1;10028;Fisica;1;DF;CO;28;M;2006.0;2016.0;4.0;77.1;89.4;100.0;73.5;76.0;80.0;75.0;71.0;75.0;70.0;73.0;75.0;61.7;70.0;85.0;30.0;B;C;C;B;B;C;D;C;D;B;F;A;D;F;C;B;F;D;D;A;A;A;A;A;53.0;A;A;C;G;A;B;C;A;B;A;6.0;5.0;4.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;6.0;6.0;7.0;7.0;6.0;7.0;6.0;6.0;6.0;6.0;4.0;7.0;4.0;3.0;3.0;5.0;7.0;7.0;6.0;6.0;5.0
2;1;10028;Fisica;1;DF;CO;26;M;2009.0;2012.0;4.0;30.7;70.4;75.0;63.5;35.0;55.0;30.0;92.0;60.0;100.0;17.5;20.0;3.3;0.0;0.0;10.0;A;C;C;A;A;A;D;D;C;A;D;A;C;C;B;D;C;B;A;A;A;A;A;A;53.0;A;A;G;C;A;E;D;E;G;A;2.0;4.0;1.0;1.0;1.0;3.0;4.0;4.0;4.0;5.0;1.0;4.0;3.0;2.0;1.0;6.0;3.0;4.0;1.0;2.0;2.0;2.0;2.0;4.0;8.0;7.0;7.0;4.0;1.0;1.0;5.0;2.0;4.0;2.0;1.0;3.0;3.0;5.0;3.0;1.0;5.0;4.0
2;1;10028;Fisica;1;DF;CO;23;M;2010.0;2015.0;4.0;43.7;31.5;37.5;22.5;45.0;65.0;40.0;0.0;0.0;0.0;47.8;50.0;35.0;50.0;15.0;40.0;C;C;A;D;C;D;B;D;D;A;D;A;C;D;B;E;B;C;A;A;E;A;A;E;53.0;A;A;A;G;B;B;B;A;E;F;5.0;6.0;7.0;6.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;4.0;6.0;5.0;5.0;4.0;3.0;3.0;6.0;5.0;6.0;8.0;8.0;7.0;7.0;7.0;5.0;5.0;5.0;5.0;6.0;4.0;3.0;3.0;4.0;8.0;7.0;5.0;5.0
2;1;10028;Fisica;1;DF;CO;41;M;1993.0;2015.0;4.0;57.4;69.6;75.0;61.5;74.0;90.0;70.0;49.0;65.0;45.0;53.3;60.0;15.0;20.0;15.0;10.0;C;C;C;D;D;C;A;D;C;B;A;A;E;D;C;B;F;E;E;A;A;A;A;A;33.0;E;A;A;A;A;D;D;A;E;F;4.0;4.0;5.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;3.0;4.0;3.0;3.0;5.0;4.0;4.0;3.0;7.0;4.0;4.0;4.0;3.0;8.0;7.0;7.0;3.0;4.0;4.0;5.0;5.0;3.0;3.0;5.0;3.0;1.0;7.0;5.0;4.0;2.0;7.0
2;1;10028;Fisica;1;DF;CO;25;M;2008.0;2016.0;4.0;58.7;90.1;87.5;94.0;95.0;75.0;100.0;93.0;65.0;100.0;48.2;50.0;38.3;10.0;45.0;60.0;C;C;B;A;B;B;D;D;C;A;A;A;D;D;B;D;C;C;C;A;A;F;A;D;53.0;A;A;C;G;A;C;B;A;E;F;6.0;6.0;4.0;1.0;5.0;5.0;6.0;6.0;4.0;5.0;1.0;2.0;6.0;1.0;6.0;6.0;4.0;6.0;4.0;4.0;4.0;6.0;6.0;4.0;1.0;4.0;4.0;4.0;5.0;5.0;5.0;1.0;6.0;6.0;6.0;6.0;6.0;6.0;1.0;2.0;2.0;4.0
2;1;10028;Fisica;1;DF;CO;28;M;2007.0;2017.0;4.0;46.4;45.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.8;55.0;0.0;0.0;0.0;0.0;C;C;B;A;B;C;D;D;D;A;D;A;E;D;C;C;E;E;E;A;A;C;A;A;53.0;B;A;A;B;A;C;C;E;E;A;4.0;5.0;5.0;4.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;5.0;6.0;4.0;6.0;5.0;8.0;4.0;3.0;4.0;5.0;6.0;5.0;5.0;4.0;6.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0
